kapper;1_profit;1_bets;2_profit;2_bets;3_profit;3_bets;4_profit;4_bets;5_profit;5_bets;6_profit;6_bets;7_profit;7_bets;8_profit;8_bets;9_profit;9_bets;10_profit;10_bets;11_profit;11_bets;12_profit;12_bets;13_profit;13_bets;14_profit;14_bets;15_profit;15_bets;16_profit;16_bets;17_profit;17_bets;18_profit;18_bets;19_profit;19_bets;20_profit;20_bets;21_profit;21_bets;22_profit;22_bets;23_profit;23_bets;24_profit;24_bets;25_profit;25_bets;26_profit;26_bets;27_profit;27_bets;28_profit;28_bets;29_profit;29_bets;30_profit;30_bets
lyubim;0;1;-3.01;4;-3.01;4;7.05;5;7.05;5;14.66;10;9.7;11;9.7;11;9.7;11;9.7;11;9.7;11;9.7;11;6.41;12;6.41;14;0.1;15;0.1;15;-2.91;16;-2.91;16;-2.91;16;-2.91;16;-2.91;16;-2.91;16;-0.37;17;-0.37;17;-0.37;17;6.19;19;6.19;19;6.19;19;6.19;20;6.19;20
NE FAKT;-4.5;4;-10.34;6;-10.34;6;-10.12;10;-10.12;10;-10.12;10;-6.35;13;-11.89;15;-11.89;15;-5.93;18;-6.47;19;-10.08;21;-10.08;21;-14.33;23;-11.11;25;-5.95;28;-9.49;31;-9.16;35;-20.86;36;-18.53;41;-16.64;46;-14.72;49;-14.72;49;-14.92;50;-11.95;51;-12.93;55;-8.33;62;-2.22;67;7.93;71;2.81;75
protos_1878;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;4;-4.99;6;-0.33;7;2.26;8;2.9;9;6.97;10;6.97;11;4.3;12;7.35;13;11.27;14;11.27;15
kannsanek;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;-2.72;5;-4.73;7;2.13;9;2.13;9;2.13;11;2.13;12;8.98;13;9.63;15;16.58;16;16.58;16;16.58;16
lama;-9.7;3;-14.22;5;-15.02;8;-15.23;13;-23.44;15;-24.73;18;-32.03;19;-35.39;22;-36.76;25;-39.6;30;-43.68;32;-41.52;33;-46.32;34;-42.05;37;-48.05;39;-45.12;40;-46.13;45;-30.76;46;-25.52;49;-28.74;54;-38.35;57;-21.59;62;-14.19;67;-9.63;71;-8.95;76;1.47;79;18.04;86;14.39;93;-1.36;98;3.39;103
Avangard46;0;2;4.22;4;7.45;6;6.82;7;10.8;8;13.25;10;13.26;13;13.78;14;16.49;15;20.11;17;15.47;19;17.69;20;14.18;21;17.2;22;12.96;23;15.81;25;8.95;26;13.18;27;9.79;28;5.56;29;8.61;30;11.57;31;13.78;32;13.78;32;13.78;32;13.78;32;13.78;32;13.78;32;13.78;33;13.78;33
bflot;0;1;0;1;0;1;0;1;3.59;2;-1.58;3;-1.58;3;-1.58;3;-1.58;3;-1.58;3;-1.58;3;-1;4;-1;4;-1;4;-1;4;-1;4;2.13;6;4.57;7;6.96;8;9.04;9;13.5;11;15.3;12;18.16;13;18.16;13;21.04;14;23.75;16;8.65;20;11.91;23;11.91;24;14.21;27
stiffyx;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;8.31;6;13.81;7;13.81;7;13.81;7;9.26;10;9.26;10;9.26;10;9.26;10;9.26;10;9.26;10;9.26;10;9.26;10;9.75;12;17.74;14;17.74;14;20.44;15;15.62;16;15.62;16;15.62;16;15.62;16;15.62;16
zhuk1988;0;1;2.56;2;-0.52;3;-0.52;3;2.17;4;2.17;4;2.17;4;2.17;4;2.17;4;2.17;4;2.17;4;4.71;5;4.71;5;4.71;5;4.71;5;9.57;8;10.97;9;10.97;9;10.97;9;7.64;10;7.64;10;7.64;12;13.18;13;13.18;13;9.78;15;14.13;17;13.15;20;13.15;20;13.15;20;13.15;20
pravo621;0;4;4.12;7;0.23;11;-5.29;15;-2.02;17;-2.02;18;-0.58;20;-4.47;23;-4.47;23;-0.04;25;-3.93;28;-3.93;28;-7.82;29;-11.71;31;-11.71;31;-11.71;31;-11.71;31;-5.18;32;-2.26;34;-6.15;37;1.67;39;7.86;41;7.86;43;9.22;46;21.63;47;17.74;48;20.31;50;12.53;53;17.59;55;9.81;57
