kapper;1_profit;1_bets;2_profit;2_bets;3_profit;3_bets;4_profit;4_bets;5_profit;5_bets;6_profit;6_bets;7_profit;7_bets;8_profit;8_bets;9_profit;9_bets;10_profit;10_bets;11_profit;11_bets;12_profit;12_bets;13_profit;13_bets;14_profit;14_bets;15_profit;15_bets;16_profit;16_bets;17_profit;17_bets;18_profit;18_bets;19_profit;19_bets;20_profit;20_bets;21_profit;21_bets;22_profit;22_bets;23_profit;23_bets;24_profit;24_bets;25_profit;25_bets;26_profit;26_bets;27_profit;27_bets;28_profit;28_bets;29_profit;29_bets;30_profit;30_bets
andrey.ugnivenko;0;2;4.66;4;9.17;6;6.27;7;9.39;9;6.5;11;3.68;12;6.46;13;1.16;15;-0.95;17;3.92;19;0.86;20;3.46;21;5.63;22;5.63;22;7.94;23;2.58;24;6.65;26;-1.51;28;2;29;2;29;2;29;2;29;2;29;-3.08;30;-6.95;31;-6.95;31;-6.95;31;-6.95;31;-5.05;32
Orange_Capper;0;1;0;1;0;1;0;1;0;1;3.69;2;-1.47;4;-1.01;5;3.83;7;3.83;7;3.83;7;-1.1;10;-3.51;12;-3.51;12;-3.29;13;0.32;14;-4.67;15;-4.67;15;-0.62;16;-0.62;18;-2.77;21;5.74;22;9.71;24;8.77;27;18.09;30;1.27;31;-2.78;33;-2.78;33;0.87;34;3.43;35
J_C_Nefer;-6.39;5;-6.39;5;-6.39;5;-6.39;5;-6.39;5;-6.39;5;-6.39;5;-6.39;5;-6.39;5;-9.52;6;-8.22;7;-6.39;8;-10.13;10;-12.1;11;-12.1;11;-12.1;11;-12.1;11;-12.1;11;-12.1;11;-12.1;11;-12.1;11;-12.1;12;-5.12;13;-5.12;13;-5.12;13;-5.12;13;-5.12;13;-5.12;13;-5.12;13;-5.12;13
Billi Bons;19.09;8;7.98;10;-2.54;11;6.86;19;5.51;30;14.13;37;14.13;37;14.13;37;31.21;46;33.63;50;35.84;57;5.62;61;5.08;62;13.22;63;13.22;63;13.22;63;7.56;64;7.56;64;7.56;64;7.56;64;7.56;64;7.56;65;3.26;66;3.26;66;-1.9;67;-1.9;67;-1.9;67;-1.9;67;-1.9;67;2.36;68
maratstark;0;1;0;1;0;1;2.38;2;2.38;3;8.52;5;6.54;6;6.54;6;15.87;8;15.87;8;15.87;8;15.87;8;15.87;8;15.87;9;10.8;10;5.73;11;0.66;13;-1.47;14;-1.47;14;6.9;16;10.45;21;13.74;23;17.04;26;4.36;28;4.36;28;4.36;28;-0.71;30;-5.78;31;-5.78;31;-5.78;33
dic;0;2;-1.32;3;-1.32;3;-1.32;3;-1.32;3;-1.05;4;-1.05;4;-1.05;4;-2.06;5;-2.06;5;-2.06;5;-2.06;5;-2.06;5;-2.06;5;-1.77;7;-1.77;7;-0.64;8;-1.65;10;-1.65;10;-1.65;10;-1.65;10;-1.58;13;-1.97;15;-1.7;18;-1.7;18;-1.7;18;-1.7;18;-3.45;19;-3.45;19;-3.45;19
Wallrider;0;4;0;4;0;4;0;4;0;4;0;4;0;4;0;4;0;4;0;4;0;4;0;4;0;4;0;4;0;4;0;4;0;4;0;4;0;4;0;4;-1.37;9;-1.37;9;22.55;16;14.38;24;-3.94;27;-1.63;31;-1.63;31;-1.63;31;-1.63;31;-1.63;31
Ganja Ilia;0;3;0;3;0;3;0;3;3.75;4;3.75;4;3.75;4;3.75;4;3.91;5;3.91;5;3.91;5;1.2;6;1.2;6;-1.52;7;-1.52;7;-1.52;8;-1.79;9;-1.79;9;-1.79;10;3.06;11;3.06;11;3.06;11;3.06;11;3.06;13;3.06;13;3.06;13;-0.57;14;-0.57;14;-0.57;14;-0.57;14
Alexej66;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;3.8;5;-0.94;7;-9.26;12;-5.61;14;-9.77;16;0.25;20;-5.11;22;-2.07;25;2.42;30;3.37;32;2.04;38;3.41;40;9.07;45;5.3;51;-4.89;54;-11.7;56;-13.05;57;-13.05;57;-9.43;59;-2.46;61
Stun;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;7.03;3;9.7;8;2.82;13;9.6;19;-0.23;20;9.21;21;3.78;23;10.21;24;7.43;27;7.43;27;9.96;30;-5.64;33;-5.42;36
schastliwchik;0;1;1.99;2;1.99;2;1.99;2;1.99;2;1.99;2;-3.09;3;-7.91;4;-7.91;4;-7.91;4;-7.91;4;-7.91;4;-7.08;5;-5.64;6;-5.64;6;-5.64;6;-5.64;6;-4.37;7;-2.89;9;-2.89;9;-0.4;10;1.38;11;2.54;12;-2.58;14;-7.43;16;-7.43;16;-7.43;16;-4.95;17;-4.95;17;-4.95;17
andreas.haas;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0.9;2;0.9;2;0.9;2;0.9;4;0.9;4;0.9;4;-6.09;8;-3.08;9;-3.08;9;-2.22;12;-4.55;14;-2.56;15;-1.5;17
sasha1015;0;1;-4.98;5;-4.98;5;-4.59;7;-4.59;7;-10.8;13;-16.36;19;-2.82;21;-2.82;21;5.53;25;8.99;26;3.55;29;-15.59;33;-19.61;35;-16.93;42;-16.93;42;-16.93;42;-16.93;42;-16.93;42;-16.93;42;-10.5;45;-2.56;47;-2.26;48;2.27;49;7.26;51;-3.16;52;3.07;57;-11.2;59;-11.2;59;-11.2;59
vvsaz92;4.16;3;4.16;3;4.16;3;4.16;3;4.16;3;4.16;3;4.16;3;4.16;3;4.16;3;4.16;3;4.16;3;4.16;3;4.16;3;4.16;3;4.16;3;4.16;3;4.16;3;4.16;3;4.16;3;4.16;3;4.16;3;4.16;3;10.9;7;10.93;13;19.44;16;23.54;21;19.62;30;18.53;34;11.04;37;5.5;41
AlexVTZ;-2.28;8;-2.28;8;-2.28;8;-2.28;8;-2.28;8;-2.28;8;-2.28;8;-2.28;8;-2.28;8;-2.28;8;-2.28;8;-2.28;8;-2.28;8;-2.28;8;-2.28;8;-2.28;8;-2.28;8;-2.28;8;-2.28;8;-2.28;8;-2.28;8;-2.28;8;-2.28;8;-2.28;8;-2.28;8;-2.28;8;-2.28;8;-2.28;8;-2.28;8;0.99;11
cucumber48;0;4;1.76;5;5.79;7;2.39;15;7;23;8.07;31;2.53;39;12.3;47;20.83;55;14.66;63;20.88;67;-1.35;68;-1.35;68;-1.35;68;-1.35;68;-1.35;68;-1.35;68;-1.35;68;-1.35;68;-1.35;68;-1.35;68;-1.35;68;-1.35;68;-1.35;68;-1.35;68;-1.35;68;-1.35;68;-1.35;68;-1.35;68;-1.35;68
CocoJambo2020;0;1;0;1;2.46;2;4.03;3;4.03;3;1.38;4;3.68;5;-1.62;7;-1.62;7;-1.62;7;-1.62;7;-1.62;7;-4.26;8;-4.26;8;-4.26;8;-2.99;9;-6.86;10;-5.22;11;-8.05;12;-6.57;13;-4.18;14;-1.97;16;1.5;17;3.84;18;1.19;19;3.47;20;5.2;21;7.47;23;1.05;25;-1.31;27
Anton K;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;-2.43;8;5.42;12;11.77;14;11.21;16;0.39;17;3.63;18;-1.54;19;-1.54;19;-1.54;19;-1.54;19;-1.54;19
Den856174;0;2;2.1;5;-7.55;8;-6.3;14;-6.5;22;-6.5;22;-16.92;26;-10.34;27;-11.11;32;-14.19;33;-14.19;33;-10.15;38;-10.15;38;-10.15;38;-10.15;38;-10.15;38;-10.15;38;-10.15;38;-10.15;38;-10.15;38;-10.15;38;-6.35;44;-6.35;44;-6.35;44;-6.35;44;-6.35;44;-6.35;44;-12.84;52;-11.21;60;-11.21;60
LGD_GAMING;0;3;0;3;0;3;0;3;0;3;0;3;0;3;0;3;0;3;0;3;0;3;0;3;0;3;0;3;0;3;0;3;0;3;0;3;0;3;0;3;0;3;0;3;6.63;7;0.86;11;-0.4;13;-6.17;20;-1.61;21;-1.61;21;-1.61;21;-1.61;21
Ggg77;0;1;0;1;0;3;0;3;0;3;0;3;0;3;-4.94;4;-1;6;-0.1;7;-0.1;7;-0.1;7;1.62;8;3.23;9;4.59;10;4.59;10;6.32;11;8.02;12;8.02;12;-0.87;16;3.08;17;6.77;19;6.77;19;-0.57;20;0.75;21;0.75;21;-1.25;22;-4.37;24;-2.59;26;-5.28;27
No1xd;0;3;0;3;0;3;0;3;0;3;0;3;0;4;-2.32;10;-2.32;10;-2.32;10;-2.32;10;-2.32;10;-2.32;10;5.72;14;5.72;14;5.72;14;5.72;14;5.72;14;5.72;14;5.72;14;-5.15;19;-5.15;19;-5.15;19;-5.15;19;-5.15;19;-5.15;19;-5.15;19;-5.15;19;-5.15;19;-5.15;19
iliaser;0;1;1.26;2;1.26;2;2.32;3;3.15;5;3.15;5;-3.05;6;-3.05;6;-3.05;6;-3.05;6;-3.05;9;-3.05;9;-4.01;12;0.04;15;1.03;16;1.03;18;-1.25;20;-3.17;23;-3.17;23;-8.63;27;-16.08;28;-16.08;28;-16.08;28;-16.08;28;-19.3;29;-17.88;30;-16.63;31;-13.03;33;-13.03;33;-13.03;33
goal monster;0;2;5.27;3;7.67;5;7.67;7;10.74;9;9.85;11;15.37;13;20.9;15;20.9;16;23.42;18;18.16;21;18.16;22;19.55;24;14.31;25;14.31;25;14.31;28;14.31;29;13.98;31;9.77;33;2.49;36;4.04;41;9.91;44;8.94;47;-0.82;49;1.99;53;-0.88;55;-0.88;57;-5.98;58;-5.98;58;-5.98;58
BASKETBALLTIPS;0;1;0;1;0;1;0;1;0;1;0;1;0;1;3.78;2;2.4;5;-7.16;6;-7.16;6;-11.79;8;-4.43;11;-18.01;15;-5.68;18;-2.15;20;-6.59;21;-11.79;23;-11.79;23;-24.18;24;-27.95;25;-27.95;25;-22.1;30;-15.18;32;-8.88;35;-4.35;39;-0.47;42;-0.47;42;-0.47;42;-0.47;42
rulez2006;0;1;0.65;4;0.65;4;0.65;5;10.85;6;5.83;7;5.83;7;5.83;7;5.83;7;10.2;8;10.2;8;10.2;8;5.18;9;8.09;10;12.41;11;7.39;12;7.39;12;10.5;14;10.5;14;9.1;15;4.07;18;4.07;18;4.07;18;4.07;18;4.07;18;4.07;18;4.07;18;4.07;18;4.07;18;4.07;18
nevermind;0;1;0;1;0;1;0;1;3.08;3;5.18;6;5.18;6;-9.77;8;-9.77;10;-5.91;12;-8.27;15;-8.27;15;-8.27;15;-8.27;15;-8.27;15;-8.27;15;-12.41;16;-12.41;16;-12.41;16;-12.41;16;-12.41;16;-12.41;16;-12.41;16;-16.78;17;-16.78;17;-16.78;17;-13.35;18;-13.35;18;-13.35;18;-13.35;18
azizbek.gulomov;0;1;1.39;3;-4.89;4;-4.23;5;-4.23;5;-8.08;8;-15.6;11;-17.26;12;-17.26;12;-17.26;12;-17.26;12;-16.51;17;-18.28;20;-17.48;25;-15.3;32;-15.3;32;-20.11;39;-19.24;42;-22.34;45;-22.34;45;-22.34;45;-22.34;45;-22.34;45;-22.34;45;-20.12;47;-20.12;47;-19.55;49;-17.91;52;-16.54;56;-16.54;56
Balansir;0.9;2;0.9;2;-4.14;3;1.46;6;-3.6;7;-2.28;9;-0.48;11;2.65;14;3.4;16;5.3;19;1.11;21;2.77;22;2.77;22;4.46;24;2.91;26;5.31;28;2.55;30;-2.98;32;0.97;35;1.88;36;-0.11;40;-2.56;43;1.39;46;-0.3;48;3.9;52;-5.24;58;-6.97;59;-9.74;60;-12.75;63;-10.02;64
ximany;0;2;0;2;0;2;0;2;0;2;0;2;6.53;5;10.26;7;-0.48;11;-11.58;18;-20.27;19;-24.26;23;-24.26;23;-24.26;23;-24.26;23;-24.26;23;-19.98;26;-21.83;29;-18.98;33;-30.54;37;-32.61;39;-33.65;41;-34.78;43;-29.42;45;-24.03;47;-24.03;47;-26.41;52;-14.75;57;-26.58;59;-26.4;62
well_done;0;1;4.83;2;-0.37;4;-0.44;5;3.87;6;3.87;6;7.8;7;10.54;9;16.06;11;4.78;15;14.57;16;18.05;18;6.6;19;10.83;21;0.04;22;-4.96;23;-4.96;23;-9.7;24;-14.2;25;-14.2;25;-14.2;25;-14.2;25;-18.49;27;-18.49;27;-19.87;28;-16.83;29;-16.83;29;-16.83;29;-16.83;29;-16.83;29
SergoPriha71;0;3;-8.18;6;-9.96;9;-22.7;12;-23.36;15;-21.43;18;-20.26;21;-26.2;24;-27.98;27;-24.42;30;-31.36;33;-34.6;36;-42.28;39;-39.28;42;-40.51;45;-45.4;51;-45.4;51;-48.28;54;-52.05;57;-53.1;60;-51.52;63;-54.73;68;-54.66;70;-54.66;71;-50.8;76;-53.64;78;-52.28;85;-59.51;88;-59.51;88;-59.51;88
%c5asyMoney;0;3;0;3;0;3;0;3;0;3;0;3;0;3;0;3;0;3;0;3;0;3;0;3;0;3;0;3;0;3;0;3;0;3;0.77;5;9.5;10;7.11;13;2.06;16;2.06;16;2.06;16;13.14;19;18.62;20;12.69;24;12.69;24;12.69;24;12.69;24;12.69;24
kartuch;-11.63;13;-20.09;24;-44.97;38;-38;49;-41.62;62;-35.86;71;-49.74;86;-51.59;97;-57.32;110;-57.01;122;-58.55;133;-57.17;145;-56.79;155;-52.75;166;-53.97;178;-58.24;191;-67.18;201;-69.29;216;-70.85;224;-74.75;235;-78.28;250;-80.96;264;-83.39;269;-83.27;282;-82.56;287;-81.04;300;-83.2;309;-81.75;316;-84.19;324;-82.13;332
