kapper;1_profit;1_bets;2_profit;2_bets;3_profit;3_bets;4_profit;4_bets;5_profit;5_bets;6_profit;6_bets;7_profit;7_bets;8_profit;8_bets;9_profit;9_bets;10_profit;10_bets;11_profit;11_bets;12_profit;12_bets;13_profit;13_bets;14_profit;14_bets;15_profit;15_bets;16_profit;16_bets;17_profit;17_bets;18_profit;18_bets;19_profit;19_bets;20_profit;20_bets;21_profit;21_bets;22_profit;22_bets;23_profit;23_bets;24_profit;24_bets;25_profit;25_bets;26_profit;26_bets;27_profit;27_bets;28_profit;28_bets;29_profit;29_bets;30_profit;30_bets
Alex.Bulavkin;0.00;2;0.00;2;-5.91;3;-5.80;5;-3.67;8;+0.74;12;+3.42;13;+0.31;16;+0.31;16;+0.31;16;+2.64;17;-0.43;18;-0.43;18;-0.43;18;-0.43;18;-0.43;18;-0.43;18;+1.60;21;-1.91;24;-1.91;24;-4.87;26;+3.42;27;+3.42;27;+3.42;27;+3.42;27;+3.42;27;+3.42;27;+3.42;27;+3.42;27;+3.42;27
Ragnar145;0.00;1;0.00;2;-5.27;3;-5.27;3;-0.05;4;+3.16;5;+3.16;5;+3.16;5;+1.79;8;+1.79;8;+1.79;8;+1.79;8;+2.32;9;+6.87;11;+13.34;13;+18.98;15;+18.48;17;+22.20;19;+10.34;20;+10.34;20;+10.34;20;+10.34;20;+10.34;20;+10.34;20;+10.34;20;+10.34;20;+10.34;20;+10.34;20;+10.34;20;+10.34;20
Pashtetzaza;+1.40;2;+1.40;2;+1.40;2;+1.40;2;+1.40;2;+1.40;2;+1.40;2;+1.40;2;+2.60;6;-3.07;13;-0.77;14;-0.77;14;+1.23;15;+4.00;16;+4.00;16;+4.00;16;+4.00;16;+7.17;17;+7.17;17;+7.17;17;+7.17;17;+7.17;17;+7.17;17;+7.17;17;+7.17;17;+7.17;17;+7.17;17;+7.17;17;+7.17;17;+7.17;17
tsitsipas;+3.72;5;+0.95;6;-7.34;10;-12.87;11;-11.57;14;-9.69;16;-5.85;18;-0.95;20;+0.73;22;-2.03;23;+1.15;26;+14.20;29;+11.44;31;+8.67;33;+10.88;34;+5.35;36;+8.09;39;+10.30;40;+7.48;44;+9.86;45;+12.65;48;+9.89;49;+7.39;52;+6.67;57;+6.67;57;+6.67;57;+6.67;57;+6.67;57;+6.67;57;+6.67;57
udinm9890;+1.11;3;+1.11;3;+1.11;3;+1.11;3;+1.11;3;+1.11;3;+1.11;3;+1.11;3;+1.11;3;+1.11;3;+1.11;3;+1.11;3;+1.11;3;+1.11;3;+1.11;3;+1.11;3;+1.11;3;+9.49;8;+13.54;11;+11.48;12;+11.48;12;+8.10;13;+8.10;13;+8.10;13;+8.10;13;+8.10;13;+8.10;13;+8.10;13;+8.10;13;+8.10;13
dl1nk0;0.00;1;0.00;1;+2.88;2;+2.88;2;+5.80;3;+0.54;4;+4.14;5;+11.53;7;+11.53;10;+5.98;11;+0.69;14;+13.42;15;+16.08;16;+10.27;17;+10.27;17;+10.27;17;+13.41;18;+9.06;19;+9.06;19;+9.06;19;+9.06;19;+9.06;19;+9.06;19;+14.23;21;+14.23;21;+14.23;21;+14.23;21;+14.23;21;+14.23;21;+14.23;21
tagirrigat89;+5.65;4;-4.30;11;+22.44;16;+34.67;24;+39.12;33;+33.72;38;+27.08;39;+21.98;40;+53.11;47;+50.55;54;+44.52;60;+69.33;70;+54.05;74;+32.11;76;+37.78;83;+37.78;83;+37.78;83;+37.78;83;+19.65;87;+14.65;88;+14.65;88;+14.65;88;+14.65;88;+14.65;88;+14.65;88;+14.65;88;+14.65;88;+14.65;88;+14.65;88;+14.65;88
superions;0.00;1;+8.76;7;+19.32;11;+28.15;17;+21.99;21;+32.44;24;+36.33;26;+22.83;31;+12.76;32;+16.12;34;+16.12;34;+16.12;34;+22.71;38;+25.42;42;+24.49;43;+23.70;44;+15.19;48;+15.19;48;+7.41;53;-0.67;54;-7.06;56;-1.95;57;+1.03;59;+0.80;62;+0.80;62;+0.80;62;+0.80;62;+0.80;62;+0.80;62;+0.80;62
niki2009niki;0.00;1;0.00;1;0.00;1;0.00;1;0.00;1;+4.04;2;+4.04;2;+4.04;2;+4.04;3;+2.05;4;+8.01;5;+8.01;5;+8.01;5;+8.01;5;+11.31;6;+11.31;6;+7.97;8;+5.80;9;+5.80;9;+6.06;10;+6.06;10;+7.53;11;+7.53;11;+7.53;11;+7.53;11;+7.53;11;+7.53;11;+7.53;11;+7.53;11;+7.53;11
NM1996;0.00;2;-0.34;3;+2.04;10;+0.61;12;-1.77;14;-7.59;16;+1.35;21;+1.35;21;+7.24;23;+7.24;23;+12.63;24;+12.31;27;+15.32;31;+15.43;34;+17.23;35;+22.08;39;+22.08;39;+25.21;40;+22.09;42;+14.86;43;+14.86;43;+14.86;43;+14.86;43;+14.86;43;+14.86;43;+14.86;43;+14.86;43;+14.86;43;+14.86;43;+14.86;43
