kapper;1_profit;1_bets;2_profit;2_bets;3_profit;3_bets;4_profit;4_bets;5_profit;5_bets;6_profit;6_bets;7_profit;7_bets;8_profit;8_bets;9_profit;9_bets;10_profit;10_bets;11_profit;11_bets;12_profit;12_bets;13_profit;13_bets;14_profit;14_bets;15_profit;15_bets;16_profit;16_bets;17_profit;17_bets;18_profit;18_bets;19_profit;19_bets;20_profit;20_bets;21_profit;21_bets;22_profit;22_bets;23_profit;23_bets;24_profit;24_bets;25_profit;25_bets;26_profit;26_bets;27_profit;27_bets;28_profit;28_bets;29_profit;29_bets;30_profit;30_bets
hochudeneg13;1.48;8;1.91;11;4.43;20;4.43;20;7.02;27;7.53;31;7.34;37;8.33;39;8.48;45;8.82;48;8.95;53;10.19;58;11.73;61;10.98;66;9.57;69;9.81;72;4.41;74;4.41;74;5.85;78;7.72;79;7.72;79;8.31;80;8.31;80;8.31;80;8.31;80;8.31;80;8.31;80;8.31;80;8.31;80;8.31;80
poskrebyshev13;0;1;0;1;-2.2;3;-1.01;5;-5.96;6;-3.96;8;-8.77;9;-8.77;9;-8.77;9;-8.77;9;-2.48;10;-2.48;10;-2.48;10;-2.48;10;-2.48;10;-2.48;10;-2.48;12;-2.48;12;-2.48;12;-2.48;12;-2.48;12;-2.48;12;-2.48;12;-2.48;12;-2.48;12;-2.48;12;-2.48;12;-2.48;12;-2.48;12;-2.48;12
HockeyBro;0;3;0;3;10.26;5;10.26;5;10.26;5;10.26;5;10.26;5;10.26;5;10.26;5;10.26;7;4.34;8;4.34;8;4.34;8;4.34;8;4.34;8;4.34;8;4.34;8;4.34;8;4.34;8;4.34;8;4.34;8;-0.88;12;-0.88;12;-0.88;12;-0.88;12;7.89;13;7.89;13;7.89;13;7.89;13;7.89;13
Dendar17;0;4;0;4;0;4;0;4;0;4;0;4;0;4;0;4;0;4;0;4;0;4;0;4;0;4;0;4;0;4;0;4;0;4;0;4;-1.16;6;-1.16;9;-1.16;9;9.86;11;5.27;13;5.27;13;5.27;14;5.26;15;5.26;15;5.26;15;5.26;15;5.26;15
nicolay8;3.29;1;-4.93;4;-6.75;7;-2.22;10;-4.17;11;-3.17;12;-1.24;14;-9.19;19;-12.76;23;-14.25;24;-15.68;26;-9.73;32;-7.74;34;-4.98;36;-2;38;-10.2;41;-6.08;44;-14.61;47;-14.8;50;-6.13;52;-4.58;54;-3.41;58;-0.07;61;2.17;64;2.17;64;5.72;68;0.5;71;0.17;74;4.46;76;4.46;76
max112rus;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;-4.95;3;-7.3;4;-3.89;6;-0.78;7;-5.73;9;-7.78;10;-4.14;11;-0.55;12;3.66;13;3.66;13;3.66;13
Nik2006;0;1;0;1;0;1;0;1;0;1;0;1;2.27;2;3.87;3;0.53;4;0.53;4;-2.8;5;-2.8;5;-2.8;5;-2.8;5;-6.13;6;-6.13;6;-6.13;6;-6.13;6;-6.13;6;-6.13;6;-6.13;7;-6.13;7;-6.13;7;-3.23;8;-1.77;9;0;11;2.7;12;2.7;12;4.63;13;4.63;13
Footbets11;0;4;-0.73;5;-4.71;6;-4.71;9;-4.71;9;5.62;12;5.62;13;5.62;13;9.62;14;9.62;14;9.62;15;9.62;17;3.13;20;3.13;20;5.27;21;5.27;21;8.92;22;8.92;22;6.76;25;6.4;27;6.4;28;8.03;30;5.7;31;7.71;32;7.32;36;7.32;36;0;41;5.76;44;5.76;44;5.76;44
dubsidia;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;6.9;3;10.06;4;6.74;6;6.74;6;6.77;8;4.72;10;4.72;11;4.72;11;4.72;11;4.72;11;4.72;11;4.72;11;4.72;11;4.72;11
stiffyx;0;1;6.24;3;9.17;5;12.47;7;6.1;8;0.79;10;0.79;10;5.55;13;5.55;13;5.55;13;0.99;14;0.99;14;0.99;14;0.99;14;0.99;14;0.99;14;0.99;14;0.99;14;0.99;14;0.99;14;0.99;14;0.99;14;0.99;14;0.99;14;0.99;14;0.99;14;0.99;14;0.99;14;0.99;14;0.99;14
