kapper;1_profit;1_bets;2_profit;2_bets;3_profit;3_bets;4_profit;4_bets;5_profit;5_bets;6_profit;6_bets;7_profit;7_bets;8_profit;8_bets;9_profit;9_bets;10_profit;10_bets;11_profit;11_bets;12_profit;12_bets;13_profit;13_bets;14_profit;14_bets;15_profit;15_bets;16_profit;16_bets;17_profit;17_bets;18_profit;18_bets;19_profit;19_bets;20_profit;20_bets;21_profit;21_bets;22_profit;22_bets;23_profit;23_bets;24_profit;24_bets;25_profit;25_bets;26_profit;26_bets;27_profit;27_bets;28_profit;28_bets;29_profit;29_bets;30_profit;30_bets;31_profit;31_bets
KryshEbash;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;4.24;4;4.24;4;4.24;4;4.24;4;12.33;6;12.09;7;24.34;11;29.89;14;27.77;17;30.77;18;30.46;21;27.68;23;38.84;26;50.46;28;50.46;28;46.99;30;50.82;31;49.24;32;41.78;33
medvedev__v2709;0;1;0;1;0;1;0;1;3.7;2;10.38;5;15.08;6;20.09;8;20.09;10;25.18;11;27.94;12;26.43;16;32.54;18;41.35;19;41.35;19;41.35;19;41.35;19;41.35;19;41.35;19;41.35;19;41.35;19;41.35;19;41.35;19;41.35;19;41.35;19;41.35;19;41.35;19;41.35;19;41.35;19;41.35;19;46.46;20
NE FAKT;8.83;5;15.41;8;21.66;9;27.28;10;27.28;10;27.28;10;27.28;10;27.28;10;27.28;10;27.28;10;29.39;11;28.97;13;28.97;15;42.67;17;42.67;19;42.06;20;37.16;23;37.16;23;37.16;23;35.94;25;30.27;26;32.44;30;36.19;35;29.35;38;29.73;39;31.66;42;37.08;44;38.91;47;42.59;49;43.51;52;;
%d2%e5%ed%ed%e8%f1+%ca%e0%ef%ef%e5%f0;2.74;5;7.95;10;7.95;10;6.45;12;6.45;12;8.78;20;8.78;20;3.3;25;-6.22;31;-6.4;35;-3.69;36;-3.69;36;-3.69;36;-3.69;36;-3.69;36;-3.69;36;-3.69;36;-8.5;39;-8.5;39;-8.5;39;6.1;51;14.98;56;6.43;60;17.16;62;13.99;70;25.92;73;25.17;77;17.61;80;35.69;83;39.35;84;44.09;85
Pribil buka;4.88;3;4.88;3;4.88;3;4.88;3;4.88;3;4.88;3;4.88;3;4.88;3;4.88;3;4.88;3;4.88;3;4.88;3;4.88;3;4.88;3;4.88;3;4.88;3;4.88;3;4.88;3;0.13;5;0.13;5;0.13;5;0.13;5;0.13;5;0.13;5;0.13;5;10.39;9;8.14;14;27.21;22;27.21;22;27.21;22;55.64;27
mivmagul;0;2;-1.1;4;-10.99;6;-10.99;8;-18.35;18;-18.35;18;-18.35;20;-30.88;24;-33.51;32;-24.31;35;-22.25;41;-13.45;43;-24.53;48;-18.44;56;-10.25;59;-10.34;61;-3.07;64;-7.45;67;-8.19;68;-13.36;74;-3.94;78;6.4;79;6.4;81;13.49;82;13.49;85;13.49;86;41.44;87;36.49;92;37.14;97;35.3;103;25.8;104
Kaissachess;0;1;4;2;14.38;3;6.92;7;6.92;7;3.68;14;-4.35;20;3.29;26;-2.32;32;4.8;33;10.1;34;10.1;41;-4.52;42;-4.52;42;-9.5;51;-6.09;60;-11.41;68;-16.35;78;-16.35;78;0.11;88;17.18;98;31;102;31;102;41.75;104;41.75;104;53.01;106;66.18;108;46.59;110;44.41;112;43.7;115;;
betsharing;0;2;12.17;3;15.58;5;7.8;11;7.8;11;7.8;11;7.8;11;7.8;11;11.28;12;17.09;14;16.38;16;25.44;18;15.61;20;30.78;21;24.26;24;24.26;24;24.26;24;24.26;24;24.26;24;44.06;26;44.06;26;44.68;30;29.56;31;23.09;33;23.09;33;23.09;33;23.09;33;23.09;33;23.09;33;23.09;33;;
bbmaster;0;2;8.29;4;11.58;7;44.57;12;50.72;13;57.12;16;34.72;17;34.72;17;46.41;20;32.13;24;29.83;25;29.83;25;29.83;25;29.83;25;29.83;25;29.83;25;29.83;25;35.47;27;35.47;27;35.47;27;35.47;27;35.47;27;35.47;27;35.47;27;35.47;27;35.47;27;35.47;27;35.47;27;35.47;27;35.47;27;;
Darkoldknyaz;0;3;0;3;0;3;0;3;0;3;0;3;0;3;0;3;0;3;0;3;0;3;0;3;0;3;0;3;0;3;0;3;0;3;0;3;0;3;0;3;0;3;0;3;0;3;0;3;0;3;0;3;0;3;0;3;11.16;6;19.79;10;27.19;11
