kapper;1_profit;1_bets;2_profit;2_bets;3_profit;3_bets;4_profit;4_bets;5_profit;5_bets;6_profit;6_bets;7_profit;7_bets;8_profit;8_bets;9_profit;9_bets;10_profit;10_bets;11_profit;11_bets;12_profit;12_bets;13_profit;13_bets;14_profit;14_bets;15_profit;15_bets;16_profit;16_bets;17_profit;17_bets;18_profit;18_bets;19_profit;19_bets;20_profit;20_bets;21_profit;21_bets;22_profit;22_bets;23_profit;23_bets;24_profit;24_bets;25_profit;25_bets;26_profit;26_bets;27_profit;27_bets;28_profit;28_bets;29_profit;29_bets;30_profit;30_bets;31_profit;31_bets
Balansir;0;1;0;1;0;1;0;1;0;1;0;1;-4.99;2;-4.99;2;-0.95;5;-0.95;5;0.52;8;0.52;8;-3.15;9;-2.14;12;-0.23;13;1.84;16;7.43;19;8.88;22;4.82;23;7.33;27;8.27;29;2.87;30;6.91;33;10.63;36;13.62;38;14.95;39;13.03;42;13.03;42;8.51;44;5.8;46;7.83;49
Pavell586;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;-4.99;2;-4.99;2;-4.99;2;-1.78;3;-0.9;7;-0.44;8;-0.44;8;-0.44;8;3.61;9;8.16;10;10.86;13;0;15
AquaToRia;0;3;6.05;8;0.68;9;0.68;9;0.68;9;0.68;9;0.68;9;0.68;9;0.68;9;0.68;9;0.68;9;0.68;9;0.68;9;0.68;9;0.68;9;0.68;9;0.68;9;0.68;9;0.68;9;0.68;9;0.68;9;0.68;9;0.68;9;0.68;9;0.68;9;0.68;9;5.33;12;5.33;12;7.32;15;9.27;16;3.81;21
prognoz1986;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;-4.95;3;-5;6;10.48;10;16.3;14;6.3;19;10.7;27
aszen451;0;2;0;2;0;2;-0.23;4;-1.81;6;0.59;8;3.13;10;3.13;10;6.55;11;6.55;11;11.02;12;11.02;12;11.02;12;11.75;13;11.75;13;11.75;15;14.02;17;14.02;17;13.28;18;13.28;18;13.97;21;13.97;21;13.97;21;13.97;21;13.1;22;13.1;22;13.6;23;13.6;23;13.6;23;13.6;23;;
bkvl1961;3.24;4;4.72;8;4.29;14;4.46;20;7.92;23;10.39;27;9.73;33;9.11;37;9.39;42;6.37;46;10.24;53;10.8;57;4.59;60;4.59;60;4.59;60;3.23;63;7.16;70;7.16;73;7.9;75;8.64;79;7.02;81;9.15;84;10.42;88;2.78;94;-3.33;95;-3.33;95;-3.33;95;-3.98;98;-6.52;101;-0.83;107;8.26;114
Divait;0;1;-1.54;3;8.2;5;9.7;6;9.7;6;8.15;7;8.15;8;10.04;10;10.25;12;10.25;13;11.35;14;11.35;16;11.35;16;12.92;17;12.92;17;8.16;18;10.67;20;4.88;22;4.88;22;4.45;26;3.61;27;2.93;29;3.4;30;5.67;31;5.67;31;5.67;31;5.67;31;5.67;31;8.64;32;11.2;33;;
no_no_nameq;0;2;0;2;3.83;4;3.08;5;3.08;5;7.97;7;7.97;7;7.97;7;14.12;9;14.12;9;8.7;11;-1.88;16;-1.88;16;-1.88;16;-1.88;16;1.48;17;14.06;19;14.06;19;14.06;19;12.57;21;4.11;24;9.67;27;12.47;29;6.58;33;6.58;33;6.58;33;15.21;35;15.21;35;9.24;36;9.24;36;;
H_Chinaski;0;3;0;3;0;3;0;3;0;3;0;3;0;3;0;3;0;3;0;3;0;3;0;3;0;3;0;3;0;3;0;3;0;3;0;3;0;3;0;3;0;3;0;3;0;3;0;3;0;3;0;3;4.34;8;0;11;13.57;15;16.71;18;20.45;22
Kirill22rus;0;3;0;3;0;3;0;3;0;3;0;3;0;3;0;3;0;3;0;3;0;3;0;3;0;3;1.6;6;1.6;6;1.6;6;-4.13;9;-4.13;9;-4.13;9;-4.13;9;-4.13;9;-4.13;9;-4.13;9;-4.13;9;-4.13;9;-4.13;9;-4.13;9;2.6;11;2.6;11;6.67;12;6.67;12
Alexbasket;0;3;-6.49;6;-6.49;8;-11.8;9;-11.8;9;-11.8;11;-11.6;13;-11.6;13;-11.6;13;-11.6;13;-11.6;13;-9.49;14;-2.73;20;7.11;24;1.77;26;-4.26;28;-4.26;28;-9.02;29;-1.95;33;-1.95;33;-1.95;33;-2.65;35;6.05;36;19.9;39;12.73;42;7.09;43;14.13;45;12.97;47;15.33;49;13.15;52;7.52;55
evilkorgi;4.44;3;4.44;3;4.44;3;4.44;3;4.44;3;4.44;3;4.44;3;4.44;3;4.44;3;4.44;3;4.44;3;4.44;3;4.44;3;4.44;3;4.44;3;4.44;3;16.62;12;10.83;14;5.6;17;5.6;17;5.6;17;5.6;17;5.6;17;5.6;17;5.6;17;5.6;17;5.6;17;5.6;17;5.6;17;5.6;17;5.6;17
anton.vladimirovich;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;2;10.46;3;10.46;3;10.46;3;10.46;3;14.3;4;17.73;5;17.73;5;17.73;5;17.73;6;26.31;8;35.56;9;35.56;11;16.34;12;19.86;14;19.86;14;19.86;14;;
Misterpopan;5.01;3;5.01;3;5.01;3;14.84;5;14.84;5;14.84;5;14.84;6;8.41;9;10.53;16;30.7;22;30.89;25;36.35;28;28.26;30;28.26;30;28.26;30;27.24;31;20.82;32;20.82;32;14.4;33;14.4;33;14.4;33;14.4;33;14.4;33;14.4;33;14.4;33;14.4;33;14.4;33;14.4;33;14.4;33;14.4;33;14.4;33
Artshrayner;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;1.33;3;5.51;5;4.05;8;4.05;8;4.93;9;7.06;10;9.52;11;11.39;12;8.06;14
MATVEEV1989;0;2;1.85;5;-0.33;6;-5.3;8;-9.8;9;-7.92;10;-7.92;10;-4.22;14;-4.22;14;-13.36;19;-13.36;19;-13.36;19;-9.64;22;-18.43;25;-12.8;27;-13.19;31;-13.19;31;1.75;33;1.75;33;1.75;33;1.64;35;0.15;42;0.17;43;4.54;45;4.54;45;6.31;46;6.31;46;7.2;47;7.2;49;7.2;49;;
I_See;0;2;10.22;4;5.47;5;7.26;6;12.78;9;12.78;9;12.78;10;17.44;13;17.44;14;4.4;16;4.4;16;4.4;16;4.4;16;4.4;16;4.4;16;4.4;16;4.4;16;13.79;18;10.38;19;13.03;20;2.38;23;2.38;23;2.38;23;2.38;23;2.38;23;2.38;23;2.38;23;2.38;23;13.22;24;13.22;24;;
nicolay8;0;3;1.54;4;2.76;8;6.46;9;6.46;9;6.46;10;9.25;11;12.73;12;7.11;14;5.55;19;6.38;25;6.38;25;6.34;27;6.34;27;5.41;28;6.79;30;6.79;30;6.79;30;6.79;30;6.79;30;6.79;30;6.79;30;6.79;30;10.17;33;6.96;34;6.96;36;8.2;39;-2.21;45;4.65;49;1.87;54;0.12;60
kornnet75;2.5;2;2.5;2;2.5;2;11.21;5;4.07;6;4.07;6;4.07;6;4.07;6;4.07;6;4.07;6;9.68;10;9.68;10;9.68;11;6.11;13;6.11;13;6.11;13;5.71;14;5.71;14;5.71;14;5.71;14;5.71;14;5.71;14;5.71;14;0.43;17;0.43;17;0.43;17;0.43;17;0.43;17;-3.14;18;-3.14;18;-3.14;20
aleksandr.kuksa;3.2;6;3.2;6;3.2;6;3.2;6;3.2;6;3.2;6;3.2;6;3.2;6;3.2;6;3.2;6;3.2;6;3.2;6;3.2;6;3.2;6;3.2;6;3.2;6;3.2;6;3.2;6;3.2;6;3.2;6;3.2;6;3.2;6;3.2;6;3.2;6;3.2;6;3.2;6;5.74;10;2.59;13;1.26;20;9.51;24;4.61;26
Chelust;0;2;2.97;3;0.96;6;0.96;6;0.96;6;0.96;6;0.96;6;0.96;6;0.96;6;-7.88;8;-8.59;13;-8.59;13;-8.59;13;-8.59;13;-8.59;13;-8.59;13;-1.56;15;-2.35;16;-0.68;17;-0.68;18;3.05;19;3.05;19;4.59;20;6.18;21;7.52;23;7.42;25;7.42;25;6.5;27;6.5;27;9.45;29;;
superions;0;1;0;1;3.41;4;2.65;5;2.65;5;2.65;6;-4.91;7;-4.91;7;-8.71;8;-8.71;8;-6.38;9;-1.55;12;-1.55;12;-1.9;13;-0.35;20;-0.35;20;4.6;22;9.71;23;12.51;28;12.51;28;9.14;30;9.14;30;1.63;34;6.22;35;6.22;36;11.4;40;4.82;42;0.28;43;0.39;45;2.95;46;0;48
roling1959;6.41;4;9.76;6;9.88;12;9.08;19;11.47;30;9.68;33;21.92;34;20.37;39;29.37;47;11.85;54;3.07;60;-4.12;63;0.28;64;18.58;67;24.08;73;21.4;82;10.59;90;22.3;92;19.99;95;19.99;95;23.54;96;19.81;100;19.81;100;10.76;107;4.78;108;10.45;109;10.45;109;18.82;113;18.82;113;-0.55;116;0;121
Shabani Nonda;0;2;-3.5;7;-1.16;12;-3.7;14;-3.7;14;-3.7;14;1.89;16;7.35;18;-3.8;25;-7.65;29;-8.27;31;-8.27;31;-8.27;32;-9.17;40;-5.68;41;-1.95;45;-1.95;45;4.7;46;4.7;46;4.7;46;4.7;46;4.7;46;4.7;46;4.7;46;4.7;46;4.7;46;4.7;46;4.7;46;7.92;50;7.92;50;;
Antoha1927;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;1.05;2;-3.98;3;-0.45;4;-0.45;4;-0.45;4;0.74;6;2.45;7;-2.66;9;0.01;10;2.64;11;2.64;12;2.64;12;2.64;13;5.18;14
Mikhail_Andreevich;4.2;5;3.53;7;8.61;11;4.56;14;-1.37;16;-3.39;27;-14.97;34;-16.42;39;-7.15;48;1.48;54;0.32;59;-1.57;64;0.01;68;-1.31;73;-1.67;81;-7.64;85;-11.08;88;-8.36;98;-12.41;100;-17.43;102;-17.43;102;-6.59;110;-2.82;114;3.37;117;8.19;119;7.89;122;5.88;123;5.6;126;5.6;126;4.81;130;5.55;134
%e6%e1+%ef%f0%ee%e5%ea%f2;0;1;0;1;2.73;3;2.8;5;2.8;5;2.8;5;2.8;5;4.7;8;4.7;8;4.7;8;4.7;8;4.7;8;4.7;8;4.7;8;4.7;8;4.7;8;4.7;8;4.7;8;4.7;8;4.7;8;4.7;8;4.7;8;4.7;8;4.7;8;4.7;8;0.32;13;0.32;13;5.79;14;4.1;17;-0.04;20;0;24
belpro;0;1;0;1;0;1;0;1;-4;4;-1.87;7;4.37;9;12.54;11;18.33;13;18.33;13;15.56;14;15.56;14;9.8;15;14.77;18;16.48;23;18.41;27;18.41;27;18.41;27;18.41;27;11.28;29;-4.58;32;-5.58;36;-10.28;39;-10.28;39;-10.28;39;-10.28;39;-18.6;43;-15.43;45;-15.43;45;-2.38;46;;
archi_sharif;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;2;5.42;10;5.42;10;5.42;10;5.42;10;5.42;10;5.42;10;5.42;10;11.27;17;4.01;18;7.33;19;7.33;19;7.33;19;7.33;19;7.33;19;3.05;20;6.16;22;4.17;24;2.33;29;5.7;30;8.55;32;6.46;33;;
%e8%e3%ee%f0%fc+%d2%de%cc%c5%cd%dc;0;2;0;2;0;2;0;2;0;2;0;2;7.41;3;3.1;5;3.1;5;2.62;14;2.62;14;2.62;14;2.62;14;2.62;14;2.62;14;2.62;14;2.62;14;-1.07;15;-0.14;20;10.36;29;8.99;31;3.82;32;3.82;32;3.82;32;-1.34;33;-1.34;34;-5.46;38;-5.46;38;-5.46;38;-5.46;38;;
andrey.ugnivenko;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;4.44;3;6.67;5;1.36;7;1.36;7;-1.25;9;2.59;11;7.22;13;7.22;13;-3.19;15
Evnk;41.79;1;41.79;1;41.79;1;41.79;1;41.79;1;41.79;1;63.79;14;58.08;18;29.03;28;60.2;41;73.54;53;29.73;65;5.68;69;5.68;69;5.68;69;-13.91;72;-13.91;72;-13.91;72;-13.91;72;-13.91;72;17.62;77;29.91;88;12.84;93;34.83;101;5.12;103;-5.12;105;-5.12;105;-5.12;105;-5.12;105;-5.12;105;-5.12;105
iliaser;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;1.15;2;1.15;2;1.15;2;1.15;2;1.15;2;-2.11;4;1.55;5;3.12;7;3.12;7;-0.14;8;1.29;9;-1.31;11;-1.31;11;-1.31;11
HelloGoodWorld;0;2;0;2;-3.45;3;-3.45;3;-3.45;3;-3.45;3;-3.45;3;-3.45;3;-3.45;3;-3.45;3;-3.45;4;-3.45;4;-3.45;4;-3.45;4;-5.3;6;-5.3;6;-5.3;6;-1.94;7;-1.94;7;-1.94;7;-1.94;7;-1.94;7;-1.94;7;-1.94;7;-1.94;7;-1.94;7;-6.84;9;-6.84;9;-5.86;11;0.54;12;;
ArtDav;0;3;0;3;0;3;0;3;0;3;0;3;0;3;0;3;0;5;2.78;6;4.41;7;4.41;7;-0.75;8;-0.75;8;-0.75;8;1.86;13;3.72;14;3.72;14;5.32;17;5.32;17;5.32;17;5.32;17;11.6;20;11.6;20;11.6;20;11.6;20;8.64;24;5.33;25;5.11;27;5.11;27;;
ZorroZ;0;1;0.55;4;-0.02;8;-0.24;9;-0.24;9;-0.24;9;-0.24;9;-0.24;10;-0.73;11;-0.73;11;-0.73;11;-0.73;11;-0.73;11;-0.73;11;-0.73;11;-1.21;14;-0.14;16;0.65;17;0.65;17;0.65;17;0.65;17;0.13;22;0.13;22;1.35;24;1.32;25;1.32;25;0.8;26;0.28;27;0.63;31;0.63;31;2.28;33
stanx11;0;4;0;4;0;4;0;4;0;4;0;4;8.27;5;8.27;5;8.27;5;8.27;5;8.27;5;8.27;5;8.27;7;8.27;7;8.27;8;13.59;9;13.59;9;13.59;9;13.59;11;13.59;11;10.32;13;10.32;13;7.51;14;7.51;14;7.51;14;4.29;15;4.29;15;4.29;15;4.29;15;4.29;15;;
motherbetmans;0;4;2.46;6;10.3;10;10.81;12;15.89;13;19.6;15;7.97;18;-7.4;22;-4.75;23;-14.03;27;-15.88;29;-17.44;30;-21.57;32;-23.51;33;-22.74;37;-22.74;37;-22.74;37;-17.41;38;-25.45;41;-27.04;44;-23.59;48;-22.9;50;-17.59;58;-4.26;61;-14.17;64;-14.17;64;-19.69;68;-23.5;69;-24.92;74;-22.4;76;-8.71;79
Sergey1973;0;4;-8.39;5;-8.39;5;-8.39;5;-8.39;5;-5.54;13;-5.54;13;3.75;21;5.19;29;11.07;34;11.07;34;2.72;36;2.72;36;2.72;36;2.72;36;2.72;36;2.72;36;2.72;36;-2.41;37;-3.29;40;-3.29;40;-3.29;40;-3.29;40;5.36;41;0.1;43;8.86;45;4.49;46;4.49;46;4.49;46;4.49;46;;
MaxBear;0;1;0;1;-4.99;2;-4.99;2;3.56;4;3.56;4;3.56;4;3.56;4;-1.61;5;-1.61;5;-1.61;6;-0.14;8;-0.14;8;-3.61;9;-4.47;11;-4.47;11;-4.47;11;-4.47;11;2.47;12;2.47;12;2.47;12;4.76;13;5.99;15;5.99;15;7;16;-3.39;18;-8.21;19;-8.21;19;-8.21;19;-4.82;21;-4.82;21
Zalgiris20-19;0;5;0;5;0;5;0;5;0;5;0;5;0;5;0;5;0;5;0;5;0;5;0;5;0;5;0;5;0;5;0;5;0;5;0;5;0;5;0;5;0;5;0;5;0;5;0;5;7.45;7;7.45;7;7.45;7;7.45;10;5.02;11;5.02;11;5.02;11
pravo621;3.02;2;3.02;2;3.02;2;3.02;2;3.02;2;3.02;2;3.02;2;3.02;2;5.65;3;5.65;4;1.35;7;1.35;7;1.35;7;1.35;7;1.35;7;1.35;7;6.62;8;6.62;8;6.62;8;9.86;10;9.86;10;15.16;12;15.16;13;13.9;16;13.9;17;10.03;18;6.47;20;-1.27;22;-1.27;22;-2.58;24;-4.67;26
Jaabaa;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;2;-1.8;5;4.42;7;4.42;7;4.42;8;4.42;8;4.42;8;-0.61;9;-0.61;9;0.97;11;-8.83;13;-8.83;13;-8.83;13;-1.87;14;-1.87;14;-5.46;15
%d1%f2%f0%e5%ea%ee%e7%e0_%fe%e0;0;3;0;3;0;3;0;3;0;3;0;3;0;3;0;3;0;3;0;3;4.32;5;4.32;5;4.32;5;4.32;5;4.32;5;4.32;5;11.97;8;14.18;10;21.56;13;21.56;13;21.56;13;21.56;13;21.56;14;9.13;18;9.13;18;9.13;18;-11.06;22;-11.06;22;-11.06;22;-11.06;22;;
skorpion85;4.05;3;1.64;5;-3.19;8;1.54;11;4.2;12;4.2;15;2.85;18;-2.16;19;-2.16;19;-2.16;19;-2.16;19;-8.61;22;-4.95;25;-5.77;27;-6.87;28;-11.53;31;-11.53;31;-8.66;33;-5.82;34;-2.4;35;-2.4;36;5.26;37;8.27;40;1.53;42;1.53;42;1.53;42;-7.66;45;-7.66;45;-7.66;48;-9.84;51;-5.45;52
BetWinner;0;3;0;3;0;3;0;3;0;3;0;3;0;3;3.97;5;3.97;5;0.18;6;9.06;7;9.06;7;9.06;7;9.06;12;9.06;12;12.12;13;-5.13;14;-5.13;14;-5.13;15;-1.97;18;-2.82;20;4.51;22;-9.46;30;-9.46;31;-6.75;32;-6.75;34;-7.86;38;-0.93;42;-0.93;43;2.52;46;;
Gr1nters;0;3;0;3;0;3;0;3;0;3;0;3;0;3;0;3;0;3;0;3;0;3;0;3;0;3;0;3;0;3;0;3;0;3;0;3;0;3;0;3;0;3;0;3;0;3;0;3;0;3;0;3;-7.69;7;-7.69;7;-6.14;10;1.85;14;-0.85;17
Tister;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;-4.99;2;-4.99;2;-4.99;2;-4.99;2;-4.99;2;-4.99;2;-4.99;2;-4.99;2;-4.99;2;-1.26;3;-1.26;3;2.19;4;2.19;5;9.93;7;12.3;8;12.3;8;12.3;8;7.79;9;2.43;10;5.03;11;5.03;11;-0.19;12
KruBetGroup(Kiber);0;3;0;3;0;3;0;3;0;3;0;3;0;3;0;3;-7.13;5;-1.12;7;-1.12;7;-1.12;7;5.73;8;0.45;10;0.45;10;11.03;12;10.19;14;10.19;14;10.19;14;15.04;15;9.31;17;9.31;18;11.73;20;1;23;1;23;1;23;1;23;1;23;1;23;1;23;;
Total 360;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;3;9.56;5;7.27;6;11.96;8;12.35;12;10.21;17;5.25;20;5.25;20;3.17;22;3.17;22;3.17;22;3.17;22;-1.7;23;-1.7;23;-1.7;23;;
Kiyotaka;0;2;0;2;2.62;5;2.62;5;2.62;5;2.62;5;2.62;5;2.62;5;1.45;8;1.45;8;1.45;8;1.45;8;1.45;8;1.45;8;1.45;8;9.1;9;9.1;11;4.3;12;4.3;12;4.3;12;4.3;12;1.18;19;-6.26;21;-0.41;24;-0.41;24;1.37;26;1.37;26;-4.64;28;-4.64;28;-4.64;28;;
gwdtud2;0;1;1.69;3;5.41;4;0.16;5;-5.22;7;-5.22;7;-5.22;7;-5.22;7;-3.45;8;-5.89;11;-5.89;11;-5.89;11;-5.89;11;-5.89;11;-5.89;11;-5.89;11;-5.89;11;-5.89;11;-4.67;12;-4.67;12;-6.99;13;-6.99;13;-5.32;14;-5.32;14;-9.58;15;-9.58;15;-9.58;15;-8.28;16;-8.28;16;-8.28;16;-8.28;16
Parav0388;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;0;2;5.91;4;-4.4;5;-4.4;5;-4.4;7;-4.4;7;-4.4;7;-5.59;9;-7.52;10;-7.52;10;-7.52;10;-4.65;11;-2.13;14;-6.89;16;-6.89;16;-6.89;16;-6.89;16;-6.89;16;-6.89;16;-6.69;18;-6.69;18
Dmitrii-;-3.33;7;-3.33;7;-3.33;7;7.44;18;7.11;26;9.94;28;-0.74;31;-2.86;38;-7.87;39;-7.87;39;-7.87;39;-7.87;39;-7.87;39;-7.87;39;-7.87;39;-7.87;39;-7.87;39;-7.87;39;-7.87;39;-7.87;39;-7.87;39;-7.87;39;-7.87;39;-7.87;39;-5.07;40;-5.07;40;-5.07;40;-5.07;40;-5.07;40;-5.07;40;;
daradat;0;2;12.62;5;2.18;6;6.55;8;5.7;10;3.89;11;11.44;13;11.44;13;17.06;15;15.21;18;13.23;21;13.21;22;3.23;26;3.23;26;3.23;26;0.33;29;26.57;31;21.5;33;25.05;36;30.1;39;21.14;41;18.15;44;16.81;45;11.56;46;5.98;49;-8.18;50;-9.27;53;-10.36;54;-7.63;56;-8.73;57;-15.79;65
sashka12345;0;3;0;3;0;3;0;3;0;3;0;3;0;3;0;3;0;3;0;3;0;3;0;3;0;3;0;3;0;3;4.51;11;2.65;16;-2.36;18;-0.28;21;-1.33;25;-6.34;28;-6.36;30;1.9;36;1.9;38;-7.57;39;-7.57;40;-10.35;44;-22.08;46;-22.08;46;-6.72;49;-11.14;50
lama;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1;5.04;2;8.23;3;8.23;4;17.07;5;11.79;7;11.79;9;6.16;13;4.29;16;3.23;17;3.23;18;5.91;20;5.91;20;4.28;23;0.94;25;-5.94;28;-5.94;30;-19.11;31;-19.11;32;-19.11;34;-16.35;37;-15.73;40
%cf%e0%e2%eb%ee%e4%e0%f0%f1%ea%e8%e9;0;3;7.24;6;15.38;8;9.91;9;16.67;10;10.85;11;10.85;11;5.31;13;5.31;13;6.08;15;1.3;20;4.75;26;-7.9;34;-11.18;38;-11.18;38;-11.18;38;-11.18;38;-11.18;38;-11.18;38;-11.18;38;-11.18;38;-11.18;38;-5.33;43;-3.73;50;-3.73;50;-3.73;50;-3.73;50;-3.73;50;-3.73;50;-3.73;50;;
GooLPro;0;3;-10.95;6;-17.46;8;-13.39;10;-11.96;12;-12.21;14;-11.97;17;-18.57;21;-18.57;21;-9.79;24;-10.83;25;-15.28;26;-15.28;26;-19.51;27;-19.21;30;-19.21;30;-23.24;33;-15.87;35;-20.07;36;-20.07;36;-16.23;37;-12.93;38;-11.15;39;-15.58;40;-15.58;40;-15.58;40;-13.1;41;-17.43;42;-17.43;42;-17.43;42;;
rulez2006;1.35;5;-0.5;9;-2.59;10;-2.59;11;-4.54;13;-3.65;14;-2.13;16;-2.37;21;-4.04;24;-4.04;24;-6.95;28;-12.93;30;-18.53;35;-26.19;39;-26.19;39;-26.19;39;-20.98;44;-20.98;45;-28.81;48;-28.81;48;-28.81;48;-28.81;48;-28.81;48;-28.81;48;-28.49;50;-28.49;50;-28.49;50;-28.49;50;-28.49;50;-28.49;50;-28.49;51
SergoPriha71;0;4;-2.03;12;-7.59;14;-9.13;15;-8.59;17;-7.9;18;-7.9;20;-6.62;22;-12.77;23;-15.38;26;-14.24;27;-16.82;28;-15.74;33;-14.06;36;-11.89;41;-11.19;45;-21.52;50;-26.29;56;-24.04;59;-25.32;63;-27.22;67;-32.58;71;-33.53;73;-34.45;79;-43.15;82;-41.7;86;-46.26;89;-41.74;92;-36.88;95;-31.74;98;-32.49;101
M1r4g3;12.2;12;29.27;23;43.21;31;39.62;34;47.45;45;12.2;55;12.2;55;15.59;65;-29.39;75;-20.69;85;-30.41;95;-37.38;104;-32.6;114;-15.83;122;-19.61;129;-19.61;129;-24.12;141;-34.9;146;-42.73;154;-38.08;164;-41.99;172;-49.07;178;-51.71;184;-40.99;195;-28.41;204;-44.26;207;-44.26;207;-47.03;211;-47.03;211;-47.03;211;;
kartuch;0.16;10;4.48;24;4.48;24;-21.06;31;-30.2;42;-41.33;52;-41.9;58;-54.78;72;-53.98;82;-50.01;94;-52.88;105;-46.71;115;-45.27;123;-44.65;134;-52.12;140;-47.81;157;-47.81;170;-49.6;181;-44.59;193;-47.33;204;-53.46;211;-55.86;228;-58.99;237;-54.96;248;-46.14;259;-44.47;275;-44.63;285;-41.56;295;-27.11;309;-24.01;320;-7.14;337
proton88;1.88;4;-4.54;13;-8.63;23;-14.69;30;-17.68;31;-20.97;34;-11.11;40;-2.48;46;5.13;51;1.67;61;8.41;66;14.22;71;4.54;77;2.18;81;3.93;86;3;94;1.96;103;-1.91;112;2.09;118;6.94;123;6.8;129;-5.03;138;-4.3;147;-4.62;156;-4.08;168;-8.85;174;-11.46;180;-21.58;187;-20.02;189;-14.85;191;-14.94;202
