url,zone,days,total invested,deposits number,TopListPrc,monitors number,design,text,licence,forums,reviews,listings,firstLap,plans
ethereal.global,global,116,-1,-1,55.56,9,0,0,0,8,8,0,1,0.17
regoffice.com,com,116,-1,-1,-1,-1,0,0,0,6,1,-1,-1,2.25
financegroup.cc,cc,116,-1,-1,100,1,0,0,0,0,0,0,-1,-1
hitbit.biz,biz,115,24214,238,75,12,731,0,1,6,0,0,1,21
colobit.biz,biz,115,22071,280,100,7,0,0,0,5,1,0,1,4
factorial.pro,pro,115,8163,105,100,3,0,0,0,4,0,0,1,25
loreantrade.com,com,115,6367,83,88.89,9,0,0,1,19,1,0,1,2
hourpaying.biz,biz,115,6296,608,100,13,55,24,1,6,0,0,1,24
grandcoins.biz,biz,115,2896,63,100,5,0,0,0,4,0,0,1,2.15
oilsystem.org,org,115,-1,-1,0,2,0,0,0,1,3,0,0,1
oilprofit.trade,trade,115,-1,-1,100,1,88,5,1,1,0,0,1,36
ethrun.net,net,115,-1,-1,-1,-1,1,1,0,0,0,-1,-1,777
pminvestmart.com,com,115,-1,-1,100,1,0,0,1,0,0,0,1,5
fastcashdoubler.com,com,115,-1,-1,100,1,0,0,0,2,0,0,1,48
ex-hash.com,com,114,5983,31,100,2,757,0,1,5,0,0,-1,0.79
royaltrade.club,club,114,938,51,20,5,0,0,1,1,0,85,1,11
bitmine.group,group,114,418,12,60,5,2,0,1,5,4,0,-1,0.5
3coin.biz,biz,114,325,13,66.67,3,0,0,0,0,0,0,1,12
global-logic.org,org,114,-1,-1,100,1,1,0,0,1,0,0,1,3
moneyshop.online,online,114,-1,-1,-1,-1,0,0,0,2,0,-1,1,8
acrona.club,club,114,-1,-1,-1,-1,0,0,0,1,0,-1,-1,-1
btcgolden.cc,cc,114,-1,-1,-1,-1,16,1,1,7,0,-1,1,15
allhourly.bid,bid,114,-1,-1,-1,-1,43,7,1,0,0,-1,1,6
tfinvestmentcentre.co,co,114,-1,-1,100,1,14,0,0,0,0,0,1,48
miktosh.com,com,113,183204,2746,77.27,22,4,2,1,13,4,0,0,2.48
bitbankpro.com,com,113,61112,610,7.69,26,1,61,1,14,4,345,1,8
goldnetvision.com,com,113,50344,282,80,10,0,2,0,6,4,0,1,2
eternalbit.io,io,113,31237,367,93.75,16,0,0,1,10,1,0,1,1
getbitone.com,com,113,23415,471,84.62,13,0,0,1,5,2,19,1,2.1
hourbitpay.com,com,113,10641,913,100,14,2,29,1,8,0,0,1,48
mrcoin.ltd,ltd,113,9281,225,90.91,11,1,0,1,2,1,0,-1,7
cryptomorrows.com,com,113,1084,21,100,4,746,0,1,11,0,0,1,2
inter-trade.biz,biz,113,94,2,100,1,1,0,1,6,0,0,1,1.6
larrybot.biz,biz,113,-1,-1,0,6,95,0,1,15,0,239,-1,30
loyaltytradingcompany.com,com,113,-1,-1,100,1,0,0,0,1,0,0,0,1.5
hourly.money,money,112,86696,4459,61.11,18,5,0,1,14,5,108,1,21.12
tophats.farm,farm,112,57933,480,84.62,26,13,4,1,11,9,0,1,2.5
