url,zone,days,total invested,deposits number,TopListPrc,monitors number,design,text,licence,forums,reviews,listings,firstLap,plans
bcoinpowerltd.com,com,71,18688,228,0,6,757,499,1,14,1,173,1,20.7
rich-company.net,net,70,-1,-1,0,1,0,0,0,5,0,70,-1,-1
nexus-investments.pro,pro,69,59,3,0,3,0,0,1,0,1,10,1,1.2
centriccapital.ltd,ltd,69,-1,-1,0,1,0,0,0,0,0,50,0,0.9
robots.cash,cash,68,-1,-1,0,1,0,0,0,3,1,0,-1,1.2
prime-mining.biz,biz,66,1314,80,0,14,5,4,1,9,1,208,1,1.92
lagooncapital.biz,biz,65,61918,3269,6.67,45,11,0,1,22,6,765,1,32.4
tothemoon.one,one,65,-1,-1,33.33,3,1,0,0,10,2,500,0,0.7
cleggfinance.com,com,64,-1,-1,0,14,1,0,0,1,0,100,0,10
nubiotic.net,net,64,17619,109,16.67,12,0,0,0,18,2,360,1,0.9
friendly-farmers.ru,ru,63,-1,-1,0,1,0,0,0,4,0,5,-1,-1
hex-land.com,com,62,-1,-1,36.51,63,0,0,0,33,35,6,1,3.9
investarenda.com,com,62,-1,-1,0,3,0,0,0,7,1,20,-1,0.8
investing-sd.com,com,62,-1,-1,0,2,0,0,0,10,2,0,0,0.7
webglobaltrend.biz,biz,62,1290,15,0,5,0,0,1,21,0,114,1,0.55
bitcobid.com,com,61,410,19,15.38,13,765,0,1,25,0,168,1,2.1
loantech.top,top,60,37610,175,5.41,37,0,0,0,30,11,1,-1,3
brucksbanker.com,com,60,178,5,0,4,0,0,0,16,0,0,1,1
hourrich.com,com,59,60048,2915,3.7,27,10,1,1,21,4,520,1,27.6
americangas.biz,biz,57,3608,43,9.09,11,0,0,1,21,8,180,1,2.1
drift.biz,biz,57,2623,33,26.67,15,0,0,0,12,9,334,-1,0.67
auruminvest.biz,biz,56,300,5,0,3,0,39,1,14,1,15,1,2.1
megaworld.cc,cc,56,551,2,0,1,1,0,1,10,0,0,0,0.6
fns-company.com,com,55,12440,187,13.04,23,0,0,1,17,11,2,1,4
