kapper;июль 2018_profit;июль 2018_bets;авг 2018_profit;авг 2018_bets;сен 2018_profit;сен 2018_bets;окт 2018_profit;окт 2018_bets;ноя 2018_profit;ноя 2018_bets;дек 2018_profit;дек 2018_bets;янв 2019_profit;янв 2019_bets;фев 2019_profit;фев 2019_bets;март 2019_profit;март 2019_bets;апр 2019_profit;апр 2019_bets;май 2019_profit;май 2019_bets;июнь 2019_profit;июнь 2019_bets;июль 2019_profit;июль 2019_bets;авг 2019_profit;авг 2019_bets;сен 2019_profit;сен 2019_bets;окт 2019_profit;окт 2019_bets;ноя 2019_profit;ноя 2019_bets;дек 2019_profit;дек 2019_bets;янв 2020_profit;янв 2020_bets;фев 2020_profit;фев 2020_bets;март 2020_profit;март 2020_bets;апр 2020_profit;апр 2020_bets;май 2020_profit;май 2020_bets;июнь 2020_profit;июнь 2020_bets;июль 2020_profit;июль 2020_bets
i-BETTING;0;0;0;0;0;0;4;1;0;0;-5;2;0;0;-21;5;0;0;0;0;0;0;0;0;0;0;-7;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1
michael46;-11;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-5;2;-1;6;0;0;0;0;-3;1;0;0;-2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Gangsta007;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;65;37;55;0;0;0;0;0;0;-2;2;4;4;0;0;0;0;0;0;0;0;0;0;0;0;3;1;0;0
Zah111;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
alexkid;-5;1;-5;1;0;2;0;0;6;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;2;-5;1;-4;1;0;0;0;0;0;0;0;0;0;0;0;0;-1;2;0;0
TANK88;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-13;29;32;84;21;106;16;19;0;1;0;0
Olegbet123;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1;2;0;0;0;0;0;0;6;5;31;8;20;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
FraneSelak;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
nuno24;0;0;0;0;0;0;-3;6;0;0;0;0;-2;3;0;0;-5;1;0;0;0;0;-2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-5;1;0;1;8;21;0;0;0;0;0;0
Supersilniy;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Vovchik87;0;0;0;0;0;0;43;22;8;96;4;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
carlespuyol-5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;31;23;13;9;8;9;5;1;0;0;0;0;0;0;-5;1;0;0
Lipetsk2016;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42;32;-1;2;0;0;0;0;0;0;8;17;6;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BigBob;0;0;0;0;0;0;4;1;0;0;0;0;-5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;1;0;0
din8522;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
blasterlaserjet1711;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-2;4;4;1;-5;1;8;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
adamaris;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;61;14
Zer;0;0;0;0;8;2;0;0;0;0;-3;1;-24;34;-3;21;8;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-18;4;0;0;0;0;0;0;0;0;0;0;0;0
lord123409;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
teleskop131;0;0;0;0;-1;3;0;0;2;2;0;0;0;0;3;3;-9;2;4;4;0;0;0;0;0;0;0;0;0;0;-5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1
mmm1972mmm;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
vadim_195;0;0;0;0;0;0;0;0;0;0;0;0;20;92;1;4;0;0;0;0;22;47;9;18;2;5;-5;1;0;0;0;0;8;4;-10;11;0;0;0;0;0;0;0;0;0;0;0;0;-5;2
Alex+Karawaew;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;50;70;42;166;-38;68;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
idvladisb;0;0;0;0;-5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
G-shock;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;10;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Kuka777;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;46;23;6;1;0;0;0;0
fenderok;0;0;0;0;0;0;0;0;0;0;11;7;3;11;-3;5;2;4;0;0;0;0;0;0;0;0;22;17;0;2;0;0;3;1;-6;9;9;3;0;0;0;0;0;0;0;0;0;0;0;0
johnny5nt;0;0;0;0;16;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Alone+in+the+Dark;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;31;30;7;17;-6;19;17;29;-6;12;0;0;-12;8;16;10;-5;31
nickov4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Gavr;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
sa61rus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;1;0;0;0;0
besyar;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-8;6;0;0;0;0;0;0;0;0;0;0;61;11;0;0;0;0;0;0;0;0
4321BAK;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
eugenev;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25;8;18;9;8;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0
betbetton;-8;25;-32;35;18;5;-15;48;0;15;0;0;13;11;24;29;-26;54;43;31;13;37;14;15;16;30;-9;16;1;8;11;12;3;1;-3;1;-3;9;16;35;-1;6;0;0;0;0;0;0;0;0
Npl199;1;4;0;0;13;5;2;1;-7;3;0;0;0;0;12;4;7;3;0;1;0;3;0;6;2;4;0;12;-10;9;2;1;0;0;0;0;-2;2;6;6;-7;3;0;0;0;2;0;0;0;0
Fighter;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Bambuchello;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-11;33;25;106;-1;74;73;48;9;60;-26;8;28;58;-28;49;-10;6;35;81;7;97;-16;61;-23;24;-4;11;-9;2;4;4;0;0;-9;2
tmfc1924;0;0;-1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
x2.Godwin;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
hochudeneg13;1;7;1;2;3;1;-4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;38;3;94;26;78;8;19;2;55;33;224;20;172;-31;81;0;10;-6;11;-3;2;1;2;6;36;8;79
Zofr;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
DragonForce;-4;2;3;5;0;0;0;0;0;0;0;0;4;19;0;0;4;10;-9;2;0;0;-4;2;4;16;3;22;-11;5;0;0;0;0;0;0;3;4;0;0;0;0;0;0;0;0;0;0;0;0
Sprehen;-31;21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ukrdonbass;12;4;0;1;0;0;0;2;0;0;-4;3;0;0;0;0;0;0;0;0;-2;1;3;2;10;9;32;13;-16;15;0;14;0;0;3;2;-6;4;-2;1;0;0;0;0;0;0;0;0;0;0
sslyusarenko2013;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Nedovolnyy;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;73;82;-18;42;-31;13
Kaiserslautern_Horn;0;0;0;0;0;0;0;0;0;0;9;15;-10;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-3;18;0;0;0;0;0;0;0;0;0;0;-3;1;0;0;1;7;-5;5;0;0
Aleksey305;0;0;0;0;0;0;0;0;3;1;48;31;-9;2;41;6;4;6;-5;1;-17;11;-1;21;-7;7;0;0;0;0;0;6;0;0;-5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
RRRRR;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
%D1%F2%E0%F0%E8%F7%EE%EA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
VDE;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
DimoN37;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
pavel.korobkin;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;7;5;21;27;23;0;0;0;0;0;0
Camp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
TorrPks;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;54;75;-3;49;0;0;0;0;0;0;0;0;0;0
taiber;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Nab+Chelny;-5;1;-9;2;0;0;-5;1;0;0;0;0;7;4;0;0;0;0;-5;1;0;0;10;9;-5;1;-8;10;0;0;9;3;0;0;-5;1;-9;2;-9;2;0;0;0;0;0;0;11;3;0;0
Artyom90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
igezik;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;8;-4;1;0;0;0;0;0;0;0;0;6;1;3;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0
StatandBet;0;0;0;0;0;0;0;0;0;4;-4;1;3;2;0;0;4;2;0;0;0;0;0;0;0;0;0;0;0;0;-2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Onedestiny;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Valente;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
alex_korenkov_1;0;0;0;0;0;0;0;0;-5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
TECHNOROCK;0;0;-3;1;0;0;0;0;0;0;-2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;2;3;1;-3;1;0;0;0;0;0;0;0;0;0;0;0;0
vladosfurion;-5;1;-5;1;0;0;0;0;0;0;0;0;-4;3;0;0;0;0;19;4;-19;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
vasiliy_grechka;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;7;0;0;0;0;0;0;0;0;0;0;0;0
InsiderTTNHockey;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;58;35;-28;53;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Reus_11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
stranger_rina;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BetsOnHockey;0;0;34;11;21;31;0;2;0;0;0;0;0;0;0;0;2;1;-8;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Nosferatus;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;3;-1;7;-10;7;0;0;0;0;0;0;0;0;0;2;-5;1;-1;2;0;0;-9;2;0;0;0;0;0;0;-5;1;2;1;0;0
Pasinalex;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SHURPEN;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;27;34;61;2;1;0;0;0;0;0;0;0;0;0;0;0;0;2;1;2;1
Andrey18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;66;40;-9;23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-2;22
aleshka09;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24;136;35;138
MK-47;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
yevgeny.kashuk;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
KingOfGash;1;17;1;15;7;40;-6;36;-6;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
sparrowhawk;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ryazanskiy;0;0;-1;2;-5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
sergejj-glivenko%40rambler.ru;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Konstant;-5;1;-5;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SergejRabotyaga;0;0;0;0;0;0;0;0;0;0;2;9;23;21;20;16;3;9;0;0;-5;1;0;0;0;0;-7;3;15;2;0;0;0;0;1;12;-12;6;0;0;-2;6;0;0;0;0;-5;1;9;14
ntnsamov;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;2;0;0;-4;1;11;16;10;32;2;1;5;3;0;0;0;0;9;16;0;28;1;3;0;0;0;0;0;0;0;0;1;1
Chelust;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;32;92;13;83;10;32;0;2;5;29;-30;38;-4;37
bomboleo;-5;1;6;3;-2;10;0;1;0;0;8;6;8;3;-7;5;2;1;-2;3;1;1;0;0;0;0;1;3;2;1;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Danil28;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-6;58;-24;17;-15;27;0;0;0;0;0;0;0;0;0;0;87;92;-3;58;0;0;0;0;0;0;0;0;0;0;0;0;0;0
%FF+%E6%E5+%E3%EE%E2%EE%F0%E8%EB;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Prince11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;5;8;4;4;6;1;3;2;1;0;0;0;0;20;10;6;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Krolik777;0;13;-4;11;9;14;0;21;0;14;-2;1;0;0;0;0;6;12;7;22;-1;2;0;0;-4;2;-5;1;3;3;7;11;1;6;-7;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0
egor.duhovskoy;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-11;9;-2;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0
kommynist;0;0;0;0;0;0;0;0;13;19;0;0;0;0;0;0;0;0;5;1;-19;6;0;0;0;0;0;0;0;0;-6;2;0;0;0;0;2;2;47;73;7;13;0;0;0;0;-5;4;0;0
Stabrovskyi;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;49;47;-1;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0
arsmalik;0;0;0;0;0;0;0;0;22;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;33;19;-5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Gyrd;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Roman_Kovel;0;0;0;0;0;0;0;0;0;0;0;0;12;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Levidance;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;57;98;-9;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
fijirash;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
yMHbIu;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Bitcoin35;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;1;41;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BADI37;0;0;0;0;0;0;0;0;0;0;-3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0
Avril;0;0;0;0;0;0;0;0;0;0;-1;19;0;0;0;0;0;0;0;0;3;18;-1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17;42;0;0;0;0
Mr+Meeseeks;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27;23
baranov+igor;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;40;72;-13;19;8;41;58;88;5;77;-28;25;0;0;-5;12;-5;1;-9;6;0;0;0;0;0;0;-5;1;0;0
Bektemir;-6;3;0;0;0;0;0;0;0;0;0;0;0;0;-5;1;0;0;-3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;7;0;0;0;0;0;0;0;0
Mumbay20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;33;11;17;6;0;0
segamega79;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;35;60;-14;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
enkaman;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
GoalFan;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
dikon444;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;7;0;0;0;0;12;5;18;18;-4;11;-10;16;4;13;3;3;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0
lookiman;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;0;0;0;0;9;1;0;0;-4;1;-7;4;20;6;0;0;0;0;24;15;0;0;0;0;0;0;0;0;0;0;0;0
punkrock000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
100500kotov;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;40;41;0;6;0;0;0;0;0;0;0;0;0;0;-32;49;1;69
no_good83;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23;17;22;24;6;7;0;0;0;0;0;0;0;0;0;0;-2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ulmagambetova1993;0;0;0;0;0;0;0;0;0;0;20;37;29;19;-6;7;-1;35;8;18;0;0;-7;10;0;0;0;0;-3;8;0;10;0;0;2;42;0;0;0;0;0;0;0;0;3;2;0;0;0;0
KryshEbash;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;43;-1;21;-6;4;-3;5;46;33;-7;12;0;0
Max.Tipster.365;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;1;-7;10
vlad.miheylaki;1;14;45;57;0;0;4;2;-10;11;0;0;0;0;-8;2;0;0;0;0;-1;2;9;37;-9;3;19;18;-5;1;0;0;-4;4;-2;2;-5;1;0;5;13;2;0;0;0;0;0;0;0;0
otar911;0;0;0;0;0;0;0;0;1;9;0;0;0;0;49;49;-13;18;-7;8;0;0;0;0;0;0;7;32;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
curacao;0;0;0;0;0;0;0;0;13;1;0;7;0;0;0;0;0;0;0;0;38;7;-11;12;-4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-4;1;0;0
Demon9;0;0;0;0;0;0;0;0;0;0;37;9;-8;16;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;21;1;1;0;0
JustJesus;-6;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
