kapper;июль 2018_profit;июль 2018_bets;авг 2018_profit;авг 2018_bets;сен 2018_profit;сен 2018_bets;окт 2018_profit;окт 2018_bets;ноя 2018_profit;ноя 2018_bets;дек 2018_profit;дек 2018_bets;янв 2019_profit;янв 2019_bets;фев 2019_profit;фев 2019_bets;март 2019_profit;март 2019_bets;апр 2019_profit;апр 2019_bets;май 2019_profit;май 2019_bets;июнь 2019_profit;июнь 2019_bets;июль 2019_profit;июль 2019_bets;авг 2019_profit;авг 2019_bets;сен 2019_profit;сен 2019_bets;окт 2019_profit;окт 2019_bets;ноя 2019_profit;ноя 2019_bets;дек 2019_profit;дек 2019_bets;янв 2020_profit;янв 2020_bets;фев 2020_profit;фев 2020_bets;март 2020_profit;март 2020_bets;апр 2020_profit;апр 2020_bets;май 2020_profit;май 2020_bets;июнь 2020_profit;июнь 2020_bets;июль 2020_profit;июль 2020_bets
proton88;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;40;56;81;153;-15;202;17;152;17;106
materazzi43;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-3;9;106;46;10;8
nicecapper;0;0;34;12;1;13;19;41;22;28;-6;2;2;2;0;0;0;0;-1;5;0;12;19;25;66;56;-25;51;-5;18;-6;69;15;35;-5;1;-19;31;-24;8;0;0;0;0;0;0;0;0;0;0
andrjylik;-14;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-14;4;0;0;0;0;0;0;0;0;0;0
vadimlin;5;1;0;0;0;0;0;0;2;1;0;0;0;0;10;6;9;10;0;15;8;6;7;2;25;16;9;15;1;9;-5;7;1;1;0;0;0;0;-2;3;2;4;0;0;0;0;0;0;0;0
Batworo;3;17;-1;4;0;0;0;0;0;0;0;0;0;0;-2;5;0;0;0;0;0;0;-1;4;0;0;0;0;0;0;5;4;-3;1;0;0;0;0;15;4;0;19;0;0;0;0;0;0;0;0
egor.makeev;0;0;0;0;0;0;0;0;0;0;3;1;2;1;0;0;35;21;1;8;45;2;6;1;24;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
loman9111;0;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-7;2;0;0;23;8;-9;2;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
suslik_by;-14;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
%CD%E0%EF%E0%F1%F1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;125;28;5;22;0;0;0;0;0;0;0;0;0;0;-8;2;0;0
Sagitta;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19;14;26;29;-17;4;12;5;0;0;71;46;3;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0
vlasap;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25;12;0;27;-5;14;72;42;-14;3;0;0;0;0;0;0;0;0;0;0;39;33;0;0;-1;2;0;0;0;0;0;0;0;0
maksim.kralechkin;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-5;1;108;86;-14;18;-10;4;25;19;-6;20;0;0;0;0;17;8;0;0;0;0
%CA%EE%F41%2C01%E2%E5%F0%ED%FF%EA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-3;1;6;1;0;0;0;0;0;0;0;0;-1;2;-5;1;24;26;53;12;16;6;0;0;0;0;0;0;0;0
kleverok;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-5;1;0;0;0;0;0;0;0;0;0;0
bluemrr;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
sasha79617;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;74;56;2;5;31;24;-4;8;0;9;16;25;-3;1;0;0;-3;10;2;7
Grommm;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;41;16;-18;35;0;0;0;0;0;0;0;0;0;0
Daweed;-2;2;0;0;0;0;2;5;-7;10;7;2;2;4;2;11;9;4;0;0;0;0;0;1;0;0;0;0;6;9;8;3;-4;1;0;0;3;2;2;1;3;1;0;0;0;2;0;0;0;0
Romeon;2;2;-5;1;0;0;0;0;0;0;0;0;0;0;3;3;-1;2;0;0;31;19;60;32;0;19;-7;9;-7;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
MMA+uniqum;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Jack+Daniels1;-12;6;3;17;-8;7;0;0;0;0;0;0;0;0;0;0;-5;1;0;0;3;1;3;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;8;0;0;0;0;0;0
maksim1;0;0;0;0;0;0;-3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;1;8;1;0;0;0;26;-15;30;21;11;0;0;0;0;0;0;0;0;0;0
%C1%CA_%D6%D1%CA%C0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-7;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
prognoz_1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
zhiber23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;34;9;94;27;2;5;-5;1;0;0;0;0;-8;3;-5;1;-4;1
advokat03;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26;40;0;0;0;0;0;0;0;0;0;0;0;0;-3;6;-1;2;60;94;29;36;0;0;-2;4;0;0;0;0;0;0;0;0;0;0
zhuk1988;0;0;0;0;18;15;-7;6;6;25;38;34;21;38;8;10;8;12;2;9;-5;5;-5;2;5;3;0;0;3;2;4;2;2;8;-1;3;-3;1;0;0;0;0;0;0;1;3;9;20;1;5
Swedish_Mos;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Mrtitz;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-12;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-2;9;-6;3;39;28;53;60;30;44;2;4
kul1333;0;0;0;0;0;0;0;0;-2;9;0;0;0;0;0;0;56;42;15;42;-24;17;-8;2;4;4;2;9;8;17;25;35;40;29;3;20;0;9;0;1;0;1;0;0;0;0;0;0;0;0
vdambaev;0;0;0;0;4;4;3;3;0;0;2;7;0;0;-5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Orange_Capper;-9;16;6;21;-8;21;6;50;-42;31;-21;10;-5;1;0;0;3;23;58;87;-27;65;-13;26;-13;3;5;36;18;51;-15;36;70;47;-21;22;0;0;0;0;0;0;0;0;0;0;-1;35;-5;46
musthave;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pashka74;-33;111;13;85;13;78;-5;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;-26;38;9;44;-28;9;0;13;4;19;0;0;0;0;0;0;0;0;0;0
%C5asyMoney;0;0;0;0;0;3;40;51;0;0;0;0;0;0;58;49;-1;17;0;0;22;41;0;0;0;0;0;0;2;2;0;0;0;0;0;0;0;0;7;36;-14;22;0;0;-2;9;-1;24;4;1
%C4%E0%ED%E8%EB%E0%F2%E8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;56;29;-6;11;0;0;12;5;0;0;0;0;0;0;0;0;0;0;0;0
student93;0;0;0;0;-2;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
kikis87;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Karelia10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;19;19;28;-2;71;9;43;-4;16;29;50;12;47;16;15;4;11;5;21;5;36;9;29
h4rich;-1;11;1;9;-1;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Trader_EVG;-3;1;29;39;-5;63;-9;37;-3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;40;82;86;-20;26
%CE%F1%F2%F0%E0%FF_%E0%ED%E0%EB%E8%F2%E8%EA%E0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42;36;1;8;-2;20;-5;1;0;0;0;0;47;14;10;7;0;0;13;9;-11;5;0;0;0;0;0;0;0;0;9;11
doc_pnz;-5;1;-6;6;-5;2;0;0;-14;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
amigomoscow-2;0;0;0;0;40;99;-1;102;12;44;13;16;22;17;14;21;2;1;6;12;32;13;8;13;13;9;0;2;6;5;-21;14;-8;15;0;0;3;19;0;0;-15;24;-1;56;-27;62;33;74;-48;29
POPANsto;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-11;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
%28T%29Tobocconist;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;120;63;36;139;-41;37;0;0;0;0;0;0;0;0;0;0;-13;34;0;0
Swt37;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21;21;104;102;-3;48
spartakchemp;6;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
desiro;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-3;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Sork;44;47;-11;54;-30;11;0;11;-4;12;-1;4;0;0;0;0;0;0;-4;1;-5;7;-8;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
d.sergeevich;0;0;0;0;19;30;86;52;0;2;-4;6;-31;14;-16;30;0;0;0;0;0;0;0;0;0;0;0;0;-1;3;-12;30;0;0;-4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
oseivan;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
Winner2021;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;36;30;65;50;7;46;-9;13;0;0;0;0;0;0
Toha555;0;0;0;0;0;0;0;0;0;1;120;35;-21;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
kipro;0;0;0;0;0;0;0;0;0;0;62;72;5;31;1;16;7;5;31;13;7;8;2;1;0;0;0;0;0;0;0;0;0;0;0;0;-5;1;0;0;0;0;0;0;0;0;0;0;0;0
Road+to+the+Top;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;10;-5;1;-2;11;53;46;56;90;-17;54
vamp1;0;0;0;0;8;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
analitik1991;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;17;74;61;16;35
listenuptome;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
chelios85;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;60;32;84;18;70;34;74;5;9;-2;7;0;0;0;0;0;0;-3;1
soldatikone;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
%EF%F0%EE%EF%EE%E2%E5%E4%ED%E8%EA;0;0;0;0;0;0;16;5;2;1;0;0;0;0;0;0;0;0;0;0;-2;2;-9;2;0;0;9;3;-4;4;0;0;0;0;0;0;-1;5;-17;7;0;0;0;0;0;0;0;0;0;0
BandyTime;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;32;88;130;-20;108
dyadya_Jora;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;59;53;41;29;0;0;-5;1;0;1;0;7
yun888;2;11;5;3;0;0;0;2;0;0;3;2;2;1;0;0;0;0;-4;1;-6;12;13;5;2;7;0;0;0;0;-3;1;0;0;0;0;0;0;5;4;0;0;0;0;0;0;0;0;0;0
niculin-st;51;70;-16;4;0;0;-8;2;-9;31;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
hocaiba;-12;3;12;5;0;0;3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
DenGrig;0;0;0;0;-10;3;7;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
redkino75;-5;1;-2;14;0;0;0;0;0;0;3;1;21;12;0;0;11;3;4;9;0;0;0;0;16;13;25;13;-13;15;0;0;0;0;0;0;8;11;2;25;3;1;0;0;0;0;0;0;0;0
sergoni;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Limonchello;0;0;0;0;0;0;0;0;0;0;0;0;-5;1;0;0;19;27;0;34;0;0;0;13;17;39;0;0;0;0;0;0;-5;1;-2;2;-1;2;0;0;0;0;0;0;0;0;0;0;0;0
Robot+Art;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21;29;-13;26;0;0;40;22;54;52;17;32;8;21;-49;53;0;0;0;0;0;0;7;16;6;20;0;0;0;0;0;0;0;0
Krzysztof+Oliwa;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;48;58;-2;29;30;36;-12;60;12;31;7;27;0;0;0;0;0;0;4;1;3;7
ITroy;0;0;0;0;0;0;0;0;0;0;53;56;-40;58;22;11;-20;29;-8;13;-1;4;0;0;0;0;3;1;0;0;3;1;31;46;0;0;-8;5;0;0;0;0;0;0;0;0;15;18;27;31
Serioga99;0;0;0;0;0;0;0;0;1;4;47;42;-21;11;-10;153;81;40;89;107;-35;60;-37;27;-14;7;0;0;0;0;0;0;22;30;-7;17;-16;20;-8;9;0;0;0;0;0;0;0;2;0;0
Toni+Torpedo;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;-6;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Guglko;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
agent47;0;0;0;0;0;0;0;0;0;0;0;0;-5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-5;8;-14;14;3;16;-4;21;0;0;0;0;0;0;0;0;0;0
felixiron;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13;7;2;11
VERYBETS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ddreamer;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;55;17;-5;27;4;35;30;77;13;17;0;14;0;13;0;0;0;0;-6;4;0;0
sanyyy98911989;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Tihonya37rus;-8;6;0;0;0;0;0;0;8;5;-15;18;-23;17;-21;11;-5;1;0;0;0;0;-3;4;0;1;-9;2;0;0;4;3;0;0;-14;3;-8;9;-10;15;0;0;0;0;0;0;0;0;0;0
